NAME                STATUS              PLACE               DETAILS
====================================================================

Carlynne            FIGHTS FOR LIFE     Dungeon             None
Minnie              FIGHTS FOR LIFE     Dungeon             Will rule the kingdom
Milena              FIGHTS FOR LIFE     Dungeon             Afraid of spiders
Maridel             FIGHTS FOR LIFE     Dungeon             Can cook
Beatriz             FIGHTS FOR LIFE     Dungeon             Programmer
Goldi               FIGHTS FOR LIFE     Dungeon             Sassy
Ceciley             FIGHTS FOR LIFE     Dungeon             Pretty
Trudey              FIGHTS FOR LIFE     Dungeon             Afraid of spiders
Ranique             FIGHTS FOR LIFE     Dungeon             Will rule the kingdom
Waly                FIGHTS FOR LIFE     Dungeon             Will rule the kingdom
Ciel                FIGHTS FOR LIFE     Dungeon             Programmer
Krystalle           FIGHTS FOR LIFE     Dungeon             Pretty
Odelinda            FIGHTS FOR LIFE     Dungeon             Pretty
Gertrud             FIGHTS FOR LIFE     Dungeon             Will rule the kingdom
Josselyn            FIGHTS FOR LIFE     Dungeon             Afraid of spiders
Dolley              FIGHTS FOR LIFE     Dungeon             Will rule the kingdom
Leyla               FIGHTS FOR LIFE     Abandoned Prison    Likes books
Tommie              FIGHTS FOR LIFE     Abandoned Prison    Likes books
Karilynn            FIGHTS FOR LIFE     Abandoned Prison    Can cook
Rene                FIGHTS FOR LIFE     Abandoned Prison    Programmer
Rosmunda            FIGHTS FOR LIFE     Abandoned Prison    Sassy
Ameline             FIGHTS FOR LIFE     Abandoned Prison    Likes books
Jeri                FIGHTS FOR LIFE     Abandoned Prison    Will rule the kingdom
Albina              FIGHTS FOR LIFE     Abandoned Prison    Programmer
Daloris             FIGHTS FOR LIFE     Abandoned Prison    Will rule the kingdom
Missie              FIGHTS FOR LIFE     Abandoned Prison    Can cook
Kirsti              FIGHTS FOR LIFE     Abandoned Prison    None
Reta                FIGHTS FOR LIFE     Abandoned Prison    Programmer
Arline              FIGHTS FOR LIFE     Abandoned Prison    Will rule the kingdom
Felisha             FIGHTS FOR LIFE     Abandoned Prison    Likes books
Chastity            FIGHTS FOR LIFE     Dark Cave           Pretty
Myrtle              FIGHTS FOR LIFE     Dark Cave           Sassy
Miquela             FIGHTS FOR LIFE     Dark Cave           Programmer
Loria               FIGHTS FOR LIFE     Dark Cave           Likes books
Abigale             FIGHTS FOR LIFE     Dark Cave           Pretty
Allix               FIGHTS FOR LIFE     Dark Cave           Will rule the kingdom
Winonah             FIGHTS FOR LIFE     Dark Cave           Likes books
Tony                FIGHTS FOR LIFE     Dark Cave           None
Jobye               FIGHTS FOR LIFE     Dark Cave           None
Nert                FIGHTS FOR LIFE     Dark Cave           Will rule the kingdom
Regine              FIGHTS FOR LIFE     Dark Cave           None
Lillian             FIGHTS FOR LIFE     Misty Swamp         Afraid of spiders
Latashia            FIGHTS FOR LIFE     Misty Swamp         None
Merci               FIGHTS FOR LIFE     Misty Swamp         Pretty
Sherill             FIGHTS FOR LIFE     Misty Swamp         Can cook
Ellette             FIGHTS FOR LIFE     Misty Swamp         Pretty
Wynn                FIGHTS FOR LIFE     Misty Swamp         Sassy
Lanae               FIGHTS FOR LIFE     Misty Swamp         Programmer
